source_id;source;source_url
det_1378;Freeport-McMoRan Inc. (2020) Annual Form 10-K Report 2019;http://d18rn0p25nwr6d.cloudfront.net/CIK-0000831259/2c324997-2084-4e3f-a51d-a1ec3538db27.pdf
det_1379;Freeport-McMoRan Inc. (2014) Annual Form 10-K Report 2013;http://d1lge852tjjqow.cloudfront.net/CIK-0000831259/ca3fa220-7699-4dc6-9d98-09ff08563e6f.pdf
det_1380;Freeport-McMoRan Inc. (2009) Annual Form 10-K Report 2008;http://d1lge852tjjqow.cloudfront.net/CIK-0000831259/473b5bd8-5d21-4d2e-a40e-52c1d7e77298.pdf
det_1381;Codelco (2019) Annual Report 2018;https://www.codelco.com/memoria2018/site/docs/20190408/20190408190123/codelco_annual_report_2018.pdf
det_1382;"Antofagasta Plc. (2020) Annual Report 2019 ; Antofagasta Plc. Website (Our History)";"https://www.antofagasta.co.uk/media/3772/antofagasta-2019-annual-report.pdf ; https://www.antofagasta.co.uk/about-us/our-history/"
det_1383;Antofagasta Plc. (2020) Annual Report 2019;https://www.antofagasta.co.uk/media/3772/antofagasta-2019-annual-report.pdf
det_1384;Antofagasta Plc. (2016) Annual Report 2015;https://www.antofagasta.co.uk/media/3004/antofagasta_annual-report-2015.pdf
det_1385;Newmont Mining Corporation (2014) Regional Operating Statistics 2013;https://www.newmont.com/files/doc_financials/quarterly/2013/q4/NEM-Q4-FY-2013-Regional-Operating-Statistics_v001_k012q1.pdf
det_1386;Newmont Mining Corporation (2013) Regional Operating Statistics 2011;https://www.newmont.com/files/doc_financials/quarterly/2011/q4/NEM-Q4-2011-Regional-Operating-Statistics-02-23-12.pdf
det_1387;Southern Copper Corporation (2011) Annual Report 2010;https://www.sec.gov/Archives/edgar/data/1001838/000110465911011083/a11-2140_110k.htm
det_1388;"BHP Annual Report 2019 ; BHP Billiton (2004) Form 20-F Annual Report 2004";"https://www.bhp.com/-/media/documents/investors/annual-reports/2019/bhpannualreport2019.pdf?la=en ; https://www.bhp.com/-/media/bhp/documents/investors/reports/2004/2004form20fdescriptionofbusinessparta.pdf?la=en"
det_1389;"BHP Billiton (2007) Form 20-F Annual Report 2007 ; BHP Billiton (2010) Annual Report 2010";"https://www.bhp.com/-/media/bhp/documents/investors/reports/2007/20fstatement2007.pdf?la=en ; https://www.bhp.com/-/media/bhp/documents/investors/reports/2010/bhpbillitonannualreport2010.pdf?la=en"
det_1390;"BHP Annual Report 2019 ; BHP Billiton (2007) Quarterly Production Report - June 2007";"https://www.bhp.com/-/media/documents/investors/annual-reports/2019/bhpannualreport2019.pdf?la=en ; https://www.bhp.com/-/media/bhp/documents/investors/reports/2007/bhpbprodrptqe30jun07.pdf?la=en"
det_1391;"Evolution Mining Website (Red Lake); Coldcorp Inc. (2015) Annual Report 2014";"https://evolutionmining.com.au/red-lake/ ; https://www.extractiveshub.org/servefile/getFile/id/5311"
det_1392;Equinox Gold Website (2020) Los Filos Overview;https://www.equinoxgold.com/operations/operating-mines/los-filos/#overview
det_1393;Vale S.A. (2014) Annual Report 2013, Companhia Vale Do Rio Doce (2005) Annual Report 2004;"http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/20F_2013_i.pdf ; http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/20F_2004_i.pdf"
det_1394;Companhia Vale Do Rio Doce (2008) Annual Report 2007, Companhia Vale Do Rio Doce (2005) Annual Report 2004;"http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/20F_2007_i.pdf ; http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/20F_2004_i.pdf"
