source_cat;source_material;material_id
detailed;Zinc ore;O.Zn
detailed;Zircon;O.Zr
detailed;Zn;Me.Zn
detailed;Gold Ore;O.Au
detailed;Phosphate ore;O.P
detailed;Potash;O.K2O
detailed;Kaolin;M.AlSiO
detailed;Bulk concentrate;Con.bulk
detailed;Iron concentrate;Con.Fe
detailed;Iron ore pellets;Con.Fe
detailed;Sinter feed;Oth.sif
detailed;Iron ore concentrate;Con.Fe
detailed;Iron ore fines;Con.Fe
detailed;Spodumene concentrate;Con.Li
detailed;Lithium DSO (direct shipping ore);O.Li
detailed;Sintering iron ore;O.Fe
detailed;Ore;O.bulk
detailed;Concentrate;Con.bulk
detailed;Nickel Concentrate;Con.Ni
detailed;Clean coal;F.coc
detailed;Coke;F.coc
detailed;Tin;Me.Sn
detailed;thermal coal;F.stc
detailed;Thermal coal;F.stc
detailed;hard coking coal;F.coc
detailed;coking coal;F.coc
detailed;coal;F.coal
detailed;semi-soft choking coal;F.coc
detailed;Copper (in sulphate);Me.Cu
detailed;Metallurgical coal;F.coc
detailed;Uranium oxide;Me.U3O8
detailed;PGM (palladium, platinum, rhodium, ruthenium, iridium);Me.pgm
detailed;Limestone;M.lim
detailed;Dolomite;M.dol
detailed;Coking coal;F.coc
detailed;Coking coal concentrate;F.coc
detailed;Copper Anode;Me.Cu
detailed;Ore smelted;
detailed;Copper concentrate and scrap;
detailed;Direct reduction Iron, Scrap;
detailed;Sinter feed, Iron ore Pellets, Coking coal;
detailed;Pig Iron, Scrap;
detailed;Copper Rod;
detailed;Refined Zinc;Me.Zn
detailed;Refined Silver;Me.Ag
detailed;Refined Gold;Me.Au
detailed;Refined Cadmium;Me.Cd
detailed;Blister copper;Me.Cu
detailed;Commercial grade Selenium;
detailed;manganese ferroalloys;
detailed;ferroalloys;
detailed;Copper wire rod;
detailed;OFE rod;
detailed;Crude steel;
detailed;Hot briquetted Iron;
detailed;Direct reduction Iron;
detailed;Raw steel;
detailed;Sulphide leach;
detailed;Low-grade ore;
detailed;SP;
detailed;Supergene Sulphide;
detailed;Transitional Sulphide;
detailed;Oxide Low Solubility;
detailed;Hypogene Sulphide;
detailed;Magnetite;O.Fe
detailed;Hematite;O.Fe
detailed;Alumina (Aluminiumoxide);
detailed;Reactive Silica (SiO_2);
detailed;Steel;
