source;source_country_id;alphanumiso
IEA_Name;Cameroon;CMR120
IEA_Name;People's Republic of China;CHN156
IEA_Name;Colombia;COL170
IEA_Name;Costa Rica;CRI188
IEA_Name;Cuba;CUB192
IEA_Name;Cyprus;CYP196
IEA_Name;Czech Republic;CZE203
IEA_Name;Germany;DEU276
IEA_Name;Denmark;DNK208
IEA_Name;Dominican Republic;DOM214
IEA_Name;Algeria;DZA012
IEA_Name;Ecuador;ECU218
IEA_Name;Estonia;EST233
IEA_Name;Egypt;EGY818
IEA_Name;Eritrea;ERI232
IEA_Name;Spain;ESP724
IEA_Name;Ethiopia;ETH231
IEA_Name;Finland;FIN246
IEA_Name;France;FRA250
IEA_Name;Gabon;GAB266
IEA_Name;United Kingdom;GBR826
IEA_Name;Georgia;GEO268
IEA_Name;Ghana;GHA288
IEA_Name;Gibraltar;GIB292
IEA_Name;Greece;GRC300
IEA_Name;Guatemala;GTM320
IEA_Name;Honduras;HND340
IEA_Name;Croatia;HRV191
IEA_Name;Haiti;HTI332
IEA_Name;Hungary;HUN348
IEA_Name;Indonesia;IDN360
IEA_Name;Ireland;IRL372
IEA_Name;Israel;ISR376
IEA_Name;India;IND356
IEA_Name;Iraq;IRQ368
IEA_Name;Islamic Republic of Iran;IRN364
IEA_Name;Iceland;ISL352
IEA_Name;Italy;ITA380
IEA_Name;Jamaica;JAM388
IEA_Name;Jordan;JOR400
IEA_Name;Japan;JPN392
IEA_Name;Kenya;KEN404
IEA_Name;Kyrgyzstan;KGZ417
IEA_Name;Cambodia;KHM116
IEA_Name;Democratic People's Republic of Korea;PRK408
IEA_Name;Korea;KOR410
IEA_Name;Kuwait;KWT414
IEA_Name;Kazakhstan;KAZ398
IEA_Name;Lebanon;LBN422
IEA_Name;Sri Lanka;LKA144
IEA_Name;Lithuania;LTU440
IEA_Name;Latvia;LVA428
IEA_Name;Luxembourg;LUX442
IEA_Name;Libya;LBY434
IEA_Name;Morocco;MAR504
IEA_Name;Moldova;MDA498
IEA_Name;Former Yugoslav Republic of Macedonia;MKD807
IEA_Name;Myanmar;MMR104
