mine_fac;sub_site;min_ore_con;type_mining;year;mine_processing
Cadia;Ridgeway;NA;NA;2005;NA
Cadia;Cadia Hill;NA;NA;2005;NA
Candelaria;NA;O.Cu;NA;2019;NA
Candelaria;NA;O.Cu;NA;2018;NA
Candelaria;NA;O.Cu;NA;2017;NA
Candelaria;NA;O.Cu;NA;2016;NA
Candelaria;NA;O.Cu;NA;2015;NA
Carlin;NA;O.Au;Open pit;2018;NA
Carlin;NA;O.Au;Underground;2018;NA
Carlin;NA;O.Au;Open pit;2017;NA
Carlin;NA;O.Au;Underground;2017;NA
Carlin;NA;O.Au;Open pit;2016;NA
Carlin;NA;O.Au;Underground;2016;NA
Carlin;NA;O.Au;Open pit;2015;NA
Carlin;NA;O.Au;Underground;2015;NA
Carlin;NA;O.Au;Open pit;2014;NA
Carlin;NA;O.Au;Underground;2014;NA
Carlin;NA;O.Au;Open pit;2013;NA
Carlin;Carlin East;O.Au;Underground;2013;NA
Carlin;Chukar;O.Au;Underground;2013;NA
Carlin;Leeville;O.Au;Underground;2013;NA
Carlin;NA;O.Au;Open pit;2012;NA
Carlin;Carlin East;O.Au;Underground;2012;NA
Carlin;Chukar;O.Au;Underground;2012;NA
Carlin;Leeville;O.Au;Underground;2012;NA
Carlin;NA;O.Au;Open pit;2011;NA
Carlin;Carlin East;O.Au;Underground;2011;NA
Carlin;Deep Post;O.Au;Underground;2011;NA
Carlin;Chukar;O.Au;Underground;2011;NA
Carlin;Leeville;O.Au;Underground;2011;NA
Carlin;NA;O.Au;Open pit;2010;NA
Carlin;Carlin East;O.Au;Underground;2010;NA
Carlin;Deep Post;O.Au;Underground;2010;NA
Carlin;Chukar;O.Au;Underground;2010;NA
Carlin;Leeville;O.Au;Underground;2010;NA
Carlin;NA;O.Au;Open pit;2009;NA
Carlin;Carlin East;O.Au;Underground;2009;NA
Carlin;Deep Post;O.Au;Underground;2009;NA
Carlin;Chukar;O.Au;Underground;2009;NA
Carlin;Leeville;O.Au;Underground;2009;NA
Carlin;NA;O.Au;Open pit;2008;NA
Carlin;Carlin East;O.Au;Underground;2008;NA
Carlin;Deep Post;O.Au;Underground;2008;NA
Carlin;Chukar;O.Au;Underground;2008;NA
Carlin;Leeville;O.Au;Underground;2008;NA
Carlin;NA;O.Au;Open pit;2007;NA
Carlin;Carlin East;O.Au;Underground;2007;NA
Carlin;Deep Post;O.Au;Underground;2007;NA
Carlin;Chukar;O.Au;Underground;2007;NA
Carlin;Leeville;O.Au;Underground;2007;NA
Casa de Pedra;NA;Con.Fe;NA;2010;NA
Casa de Pedra;NA;Con.Fe;NA;2009;NA
Casa de Pedra;NA;O.Fe;NA;2009;NA
Casa de Pedra;NA;O.Fe;NA;2008;NA
Casa de Pedra;NA;Con.Fe;NA;2008;NA
Casa de Pedra;NA;O.Fe;NA;2007;NA
Casa de Pedra;NA;Con.Fe;NA;2007;NA
Casa de Pedra;NA;Con.Fe;NA;2006;NA
Casa de Pedra;NA;O.Fe;NA;2006;NA
Casa de Pedra;NA;Con.Fe;NA;2005;NA
Casa de Pedra;NA;O.Fe;NA;2005;NA
Casa de Pedra;NA;Con.Fe;NA;2004;NA
Casa de Pedra;NA;O.Fe;NA;2004;NA
Casa de Pedra;NA;Con.Fe;NA;2003;NA
Casa de Pedra;NA;O.Fe;NA;2003;NA
Casa de Pedra;NA;Con.Fe;NA;2002;NA
Casa de Pedra;NA;O.Fe;NA;2002;NA
Centinela;Esperanza;Con.Cu;NA;2011;NA
Central GOK;NA;Con.Fe;NA;2019;NA
Central GOK;NA;Con.Fe;NA;2015;NA
Central GOK;NA;Con.Fe;NA;2014;NA
Central GOK;NA;Con.Fe;NA;2013;NA
Central GOK;NA;Con.Fe;NA;2012;NA
Central GOK;NA;Con.Fe;NA;2011;NA
Central GOK;NA;Con.Fe;NA;2010;NA
Cerro de Pasco;Raúl Rojas;O.oxi;NA;2014;NA
Chapada;NA;Con.bulk;NA;2018;NA
Chapada;NA;Con.bulk;NA;2017;NA
Chapada;NA;Con.bulk;NA;2016;NA
Chapada;NA;Con.bulk;NA;2015;NA
Chapada;NA;Con.bulk;NA;2014;NA
Chapada;NA;Con.bulk;NA;2013;NA
Chapada;NA;Con.bulk;NA;2012;NA
Chapada;NA;Con.bulk;NA;2011;NA
Chapada;NA;Con.bulk;NA;2010;NA
Chapada;NA;Con.bulk;NA;2009;NA
Chapada;NA;Con.bulk;NA;2008;NA
Chapada;NA;Con.bulk;NA;2007;NA
Chapada;NA;Con.bulk;NA;2006;NA
Cienega;NA;NA;Underground;2018;NA
Cienega;NA;NA;Underground;2017;NA
Cienega;NA;NA;Underground;2016;NA
Cienega;NA;NA;Underground;2015;NA
Cienega;NA;NA;Underground;2014;NA
Cienega;NA;NA;Underground;2013;NA
Cienega;NA;NA;Underground;2012;NA
Cienega;NA;NA;Underground;2011;NA
Cienega;NA;NA;Underground;2010;NA
Cobre Las Cruces;NA;O.Cu;NA;2018;NA
Cobre Las Cruces;NA;O.Cu;NA;2017;NA
Cobre Las Cruces;NA;O.Cu;NA;2016;NA
Cobre Las Cruces;NA;O.Cu;NA;2015;NA
Cobre Las Cruces;NA;O.Cu;NA;2014;NA
Cobre Las Cruces;NA;O.Cu;NA;2013;NA
Collahuasi;NA;O.sul;Open pit;2018;NA
Collahuasi;NA;O.sul;Open pit;2017;NA
Collahuasi;NA;O.sul;NA;2016;NA
Collahuasi;NA;O.sul;NA;2015;NA
Collahuasi;NA;O.oxi;NA;2015;NA
Collahuasi;NA;O.sul;NA;2014;NA
Collahuasi;NA;O.oxi;NA;2014;NA
Collahuasi;NA;O.sul;NA;2013;NA
Collahuasi;NA;O.oxi;NA;2013;NA
Collahuasi;NA;O.oxi;NA;2012;NA
Collahuasi;NA;O.sul;NA;2012;NA
Collahuasi;NA;O.sul;NA;2011;NA
Collahuasi;NA;O.oxi;NA;2011;NA
Collahuasi;NA;O.sul;NA;2010;NA
Collahuasi;NA;O.oxi;NA;2010;NA
Collahuasi;NA;O.sul;NA;2009;NA
Collahuasi;NA;O.oxi;NA;2009;NA
Collahuasi;NA;O.sul;NA;2008;NA
Collahuasi;NA;O.oxi;NA;2008;NA
Collahuasi;NA;O.sul;NA;2007;NA
Collahuasi;NA;O.oxi;NA;2007;NA
Collahuasi;NA;O.oxi;NA;2006;NA
Collahuasi;NA;O.sul;NA;2006;NA
Collahuasi;NA;O.sul;NA;2005;NA
Collahuasi;NA;O.oxi;NA;2005;NA
Collahuasi;NA;O.sul;NA;2004;NA
Collahuasi;NA;O.oxi;NA;2004;NA
Collahuasi;NA;O.sul;NA;2003;NA
Collahuasi;NA;O.oxi;NA;2003;NA
Constancia;NA;O.bulk;NA;2019;NA
Constancia;NA;O.bulk;NA;2018;NA
Constancia;NA;O.bulk;NA;2017;NA
Constancia;NA;O.bulk;NA;2016;NA
Constancia;NA;O.bulk;NA;2015;NA
Cozamin;NA;Con.Cu;NA;2019;NA
Cozamin;NA;Con.Zn;NA;2019;NA
Cozamin;NA;Con.Cu;NA;2018;NA
Cozamin;NA;Con.Zn;NA;2018;NA
Cozamin;NA;Con.Cu;NA;2017;NA
Cozamin;NA;Con.Zn;NA;2017;NA
Cozamin;NA;Con.Pb;NA;2017;NA
Cozamin;NA;Con.Cu;NA;2016;NA
Cozamin;NA;Con.Zn;NA;2016;NA
Cozamin;NA;Con.Pb;NA;2016;NA
Cozamin;NA;Con.Cu;NA;2015;NA
Cozamin;NA;Con.Zn;NA;2015;NA
Cozamin;NA;Con.Pb;NA;2015;NA
Cozamin;NA;Con.Cu;NA;2014;NA
Cozamin;NA;Con.Zn;NA;2014;NA
Cozamin;NA;Con.Pb;NA;2014;NA
Cozamin;NA;Con.Cu;NA;2013;NA
Cozamin;NA;Con.Zn;NA;2013;NA
Cozamin;NA;Con.Pb;NA;2013;NA
Cozamin;NA;Con.Cu;NA;2012;NA
Cozamin;NA;Con.Zn;NA;2012;NA
Cozamin;NA;Con.Pb;NA;2012;NA
Cozamin;NA;Con.Cu;NA;2011;NA
