mine_fac;match;n;mine_other_names;match.other_names;n.other_names;sub_site;match.sub_site;n.sub_site
Gary Works;;;Gary;Calvary No. 80;20;;;
Gary Works;;;Gary;Gardner Fork;20;;;
Gary Works;;;Gary;Calvary Mine;20;;;
Gary Works;;;Gary;Garmeada;20;;;
Gary Works;;;Gary;Mary Alice Refuse;20;;;
Gary Works;;;Gary;Commissary Surface Job;20;;;
Gary Works;;;Gary;D-1 Garmeada #2;20;;;
Gary Works;;;Gary;Mary Helen #1;20;;;
Gary Works;;;Gary;D-1a Garmeada;20;;;
Gary Works;;;Gary;Garmantown Mine;20;;;
Gary Works;;;Gary;Mary-D Stripping;20;;;
Gary Works;;;Gary;Garmantown #8;20;;;
Gary Works;;;Gary;Mary D Banks;20;;;
Gary Works;;;Gary;Hswp Botanic Garden No. 2;20;;;
Gary Works;;;Gary;Gay Branch #1;20;;;
Gary Works;;;Gary;Garland Surface Mine;20;;;
Gateway North;Gateway North Mine;1;Gateway;Gateway Mine;4;;;
Gateway North;Gateway North Mine;1;Gateway;Gateway North Mine;4;;;
Gateway North;Gateway North Mine;1;Gateway;Gateway Energy Inc Mine No 2;4;;;
Gateway North;Gateway North Mine;1;Gateway;Gateway Eagle Mine;4;;;
Gibson Complex;;;;;;Gibson South;Gibson South;1
Gibson Complex;;;;;;Gibson North;Gibson South;1
Greenbrier;Greenbriar Mine;1;;;;;;
Guston Run;;;Patriot Mining Company;Patriot Mining Company Inc;1;;;
Haile;Hazleton Mine;8;HGM;S & H Mine #2;2;;;
Haile;Hazleton Mine;8;HGM;S & H Mine #12;2;;;
Haile;Bailey Creek;8;HGM;S & H Mine #2;2;;;
Haile;Bailey Creek;8;HGM;S & H Mine #12;2;;;
Haile;Harlem Mine #7;8;HGM;S & H Mine #2;2;;;
Haile;Harlem Mine #7;8;HGM;S & H Mine #12;2;;;
Haile;Hazleton Shaft Bank;8;HGM;S & H Mine #2;2;;;
Haile;Hazleton Shaft Bank;8;HGM;S & H Mine #12;2;;;
Haile;Bailey Mine;8;HGM;S & H Mine #2;2;;;
Haile;Bailey Mine;8;HGM;S & H Mine #12;2;;;
Haile;Hazleton Shaft South;8;HGM;S & H Mine #2;2;;;
Haile;Hazleton Shaft South;8;HGM;S & H Mine #12;2;;;
Haile;Hazleton Shaft Strip Mine;8;HGM;S & H Mine #2;2;;;
Haile;Hazleton Shaft Strip Mine;8;HGM;S & H Mine #12;2;;;
Haile;Hazleton Materials;8;HGM;S & H Mine #2;2;;;
Haile;Hazleton Materials;8;HGM;S & H Mine #12;2;;;
Haystack;Haystack Coal Company;1;;;;;;
Hazard;Hazard South No 4 Mine;2;ICG Hazard;;;;;
Hazard;Hazard Job #6;2;ICG Hazard;;;;;
Highland;Highland 9 Mine;3;Camps/ Highland, Camp;;;;;
Highland;Highland 11 Mine;3;Camps/ Highland, Camp;;;;;
Highland;Highland No 2;3;Camps/ Highland, Camp;;;;;
Humphrey;Humphrey No. 7;2;;;;;;
Humphrey;Humphrey No. 7 Mine;2;;;;;;
Jewett;Jewett Mine;1;;;;;;
Jupiter;Jupiter Auger;1;;;;;;
Justice Energy;;;;;;Job 38;Job #38;4
