country;alphanumiso;state;region;province;district;sector;location_municipality;GID_0;GID_1;GID_2;GID_3;GID_4
Indonesia;IDN360;Kalimantan Timur;NA;NA;East Kutai Regency;Muara Wahau;NA;IDN;IDN.15_1;NA;NA;NA
Indonesia;IDN360;Kalimantan Timur;NA;NA;Kutai Kertanegara Regency;NA;NA;IDN;IDN.15_1;IDN.15.7_1;IDN.15.7.11_1;NA
Indonesia;IDN360;South Kalimantan;NA;NA;Kotabaru Regency;NA;Sarongga;IDN;IDN.13_1;IDN.13.9_1;IDN.13.9.3_1;IDN.13.9.3.6_1
Indonesia;IDN360;South Sumatra;NA;NA;Muara Enim Regency;Muara Enim;NA;IDN;IDN.31_1;IDN.31.5_1;IDN.31.5.10_1;NA
Indonesia;IDN360;South Sumatra;NA;NA;NA;NA;Tanjung Enim;IDN;IDN.31_1;IDN.31.5_1;IDN.31.5.6_1;IDN.31.5.6.5_1
Indonesia;IDN360;NA;NA;NA;Kotabaru Regency;NA;Sarongga;IDN;NA;NA;NA;NA
Indonesia;IDN360;NA;NA;NA;NA;NA;NA;IDN;NA;NA;NA;NA
Kazakhstan;KAZ398;NA;NA;NA;NA;NA;NA;KAZ;NA;NA;NA;NA
Mexico;MEX484;Chihuahua;NA;NA;NA;NA;NA;MEX;MEX.6_1;NA;NA;NA
Mexico;MEX484;Guerrero;NA;NA;NA;NA;NA;MEX;MEX.12_1;NA;NA;NA
Mexico;MEX484;San Luis Potosi;NA;NA;NA;NA;NA;MEX;MEX.24_1;NA;NA;NA
Mexico;MEX484;Sonora;NA;NA;NA;NA;NA;MEX;MEX.26_1;NA;NA;NA
Mexico;MEX484;Zacatecas;NA;NA;NA;NA;NA;MEX;MEX.32_1;NA;NA;NA
Mexico;MEX484;NA;NA;NA;NA;NA;NA;MEX;NA;NA;NA;NA
Russia;RUS643;Chelyabinsk Oblast;NA;NA;NA;NA;Chelyabinsk;RUS;RUS.11_1;RUS.11.8_1;NA;NA
Russia;RUS643;Kemerovo;NA;NA;NA;NA;NA;RUS;RUS.27_1;NA;NA;NA
Russia;RUS643;Leningrad Oblast;NA;NA;NA;NA;Volkhov;RUS;RUS.38_1;RUS.38.29_1;NA;NA
South Africa;ZAF710;NA;NA;NA;NA;NA;NA;ZAF;NA;NA;NA;NA
United States;USA840;Florida;NA;NA;NA;NA;NA;USA;USA.10_1;NA;NA;NA
United States;USA840;Georgia;NA;NA;NA;NA;NA;USA;USA.11_1;NA;NA;NA
United States;USA840;Illinois;NA;NA;Franklin;NA;Sesser;USA;NA;NA;NA;NA
United States;USA840;Illinois;NA;NA;Franklin ;NA;Sesser;USA;USA.14_1;USA.14.28_1;NA;NA
United States;USA840;Illinois;NA;NA;NA;NA;Sesser;USA;NA;NA;NA;NA
United States;USA840;Kentucky;Western Kentucky;NA;Henderson County;NA;NA;USA;USA.18_1;USA.18.51_1;NA;NA
United States;USA840;Kentucky;NA;NA;Muhlenberg County;NA;NA;USA;USA.18_1;USA.18.89_1;NA;NA
United States;USA840;Kentucky;NA;NA;Pike;NA;NA;USA;USA.18_1;USA.18.98_1;NA;NA
United States;USA840;Ohio;NA;NA;Athens County;NA;NA;USA;USA.36_1;USA.36.5_1;NA;NA
United States;USA840;Ohio;NA;NA;Belmont County;NA;NA;USA;USA.36_1;USA.36.7_1;NA;NA
United States;USA840;Ohio;NA;NA;Columbiana County;NA;NA;USA;USA.36_1;USA.36.15_1;NA;NA
United States;USA840;Ohio;NA;NA;Coshocton County;NA;NA;USA;USA.36_1;USA.36.16_1;NA;NA
United States;USA840;Ohio;NA;NA;Guernsey;NA;Cumberland;USA;NA;NA;NA;NA
United States;USA840;Ohio;NA;NA;Guernsey ;NA;Cumberland;USA;USA.36_1;USA.36.30_1;NA;NA
United States;USA840;Ohio;NA;NA;Guernsey County;NA;NA;USA;USA.36_1;USA.36.30_1;NA;NA
