id,facility_id,facility_type,year,input,input_value_tonnes,output,output_value_tonnes,grade_ppm,recovery_rate,amount_sold_tonnes,metal_payable_tonnes,incl_purchased,reporting_period,source_id,comment
133,COM00036.00,Refinery,2016,,,Metallurgical coke,480000,,,,,,April-March,det_1807,
134,COM00036.00,Smelter,2016,,,Pig iron,660000,,,,,,April-March,det_1807,
135,COM00036.00,Refinery,2017,,,Metallurgical coke,480000,,,,,,April-March,det_1805,
136,COM00036.00,Smelter,2017,,,Pig iron,710000,,,,,,April-March,det_1805,
137,COM00036.00,Refinery,2018,,,Metallurgical coke,440000,,,,,,April-March,det_1805,
138,COM00036.00,Smelter,2018,,,Pig iron,640000,,,,,,April-March,det_1805,
139,COM00036.00,Refinery,2019,,,Metallurgical coke,500000,,,,,,April-March,det_1805,
140,COM00036.00,Smelter,2019,,,Pig iron,690000,,,,,,April-March,det_1805,
141,COM00044.00,Smelter,2008,,,Aluminium,118000,,,,,,,det_1325,
142,COM00044.00,Smelter,2009,,,Aluminium,106000,,,,,,,det_1325,
143,COM00046.00,Smelter,2008,Alumina,,Primary aluminium,360457,,,,,,April-March,det_1855,
144,COM00046.00,Smelter,2009,Alumina,,Primary aluminium,361262,,,,,,April-March,det_1855,
145,COM00046.00,Smelter,2010,Alumina,,Primary aluminium,431488,,,,,,April-March,det_1854,
146,COM00046.00,Smelter,2011,Alumina,,Primary aluminium,443597,,,,,,April-March,det_1854,
147,COM00046.00,Smelter,2012,Alumina,,Primary aluminium,413089,,,,,,April-March,det_1854,
148,COM00046.00,Smelter,2013,Alumina,,Primary aluminium,403384,,,,,,April-March,det_1854,
149,COM00046.00,Smelter,2014,Alumina,,Primary aluminium,316492,,,,,,April-March,det_1854,
150,COM00046.00,Smelter,2015,Alumina,,Primary aluminium,327070,,,,,,April-March,det_1853,
151,COM00046.00,Smelter,2016,Alumina,,Primary aluminium,372183,,,,,,April-March,det_1853,
152,COM00046.00,Smelter,2017,Alumina,,Primary aluminium,387422,,,,,,April-March,det_1853,
153,COM00046.00,Smelter,2018,Alumina,,Primary aluminium,425515,,,,,,April-March,det_1853,
154,COM00046.00,Smelter,2019,Alumina,,Primary aluminium,440242,,,,,,April-March,det_1853,
155,COM00057.00,Refinery,2016,,,Ferroniobium,58300,,,,,,,det_1989,
156,COM00057.00,Refinery,2017,,,Ferroniobium,68700,,,64500,,,,det_1989,
157,COM00057.00,Refinery,2018,,,Ferroniobium,82900,,,82671,,,,det_1989,
158,COM00058.00,Smelter,2008,,,Crude steel,2700000,,,,,,,det_1679,
159,COM00058.00,Smelter,2009,,,Crude steel,2300000,,,,,,,det_1678,
160,COM00058.00,Smelter,2010,,,Crude steel,3300000,,,,,,,det_1677,
161,COM00058.00,Smelter,2011,,,Crude steel,3000000,,,,,,,det_1676,
162,COM00058.00,Smelter,2012,,,Crude steel,3300000,,,,,,,det_1675,
163,COM00058.00,Smelter,2013,,,Crude steel,3100000,,,,,,,det_1607,
164,COM00058.00,Smelter,2014,,,Crude steel,3300000,,,,,,,det_1674,
165,COM00058.00,Smelter,2015,,,Crude steel,3300000,,,,,,,det_1673,
166,COM00058.00,Smelter,2016,,,Crude steel,3600000,,,,,,,det_1672,
167,COM00058.00,Smelter,2017,,,Crude steel,3200000,,,,,,,det_1671,
168,COM00058.00,Smelter,2018,,,Crude steel,3400000,,,,,,,det_1670,
169,COM00058.00,Smelter,2019,,,Crude steel,3100000,,,,,,,det_1606,
170,COM00059.00,Smelter,2009,,,Crude steel,600000,,,,,,,det_1678,
171,COM00059.00,Smelter,2010,,,Crude steel,2300000,,,,,,,det_1677,
172,COM00059.00,Smelter,2011,,,Crude steel,2200000,,,,,,,det_1676,
173,COM00059.00,Smelter,2012,,,Crude steel,2700000,,,,,,,det_1675,
174,COM00059.00,Smelter,2013,,,Crude steel,2800000,,,,,,,det_1607,
175,COM00059.00,Smelter,2014,,,Crude steel,3000000,,,,,,,det_1674,
176,COM00059.00,Smelter,2015,,,Crude steel,2900000,,,,,,,det_1673,
177,COM00059.00,Smelter,2016,,,Crude steel,3200000,,,,,,,det_1672,
178,COM00059.00,Smelter,2017,,,Crude steel,3200000,,,,,,,det_1671,
179,COM00059.00,Smelter,2018,,,Crude steel,3100000,,,,,,,det_1670,
180,COM00059.00,Smelter,2019,,,Crude steel,3000000,,,,,,,det_1606,
181,COM00060.00,Smelter,2008,Hot metal,,Crude steel,1500000,,,,,,,det_1679,
182,COM00060.00,Smelter,2009,Hot metal,,Crude steel,600000,,,,,,,det_1678,
183,COM00060.00,Smelter,2010,Hot metal,,Crude steel,1200000,,,,,,,det_1677,
184,COM00060.00,Smelter,2011,Hot metal,,Crude steel,1200000,,,,,,,det_1676,
185,COM00060.00,Smelter,2012,Hot metal,,Crude steel,1140000,,,,,,,det_1675,
186,COM00060.00,Smelter,2013,Hot metal,,Crude steel,1200000,,,,,,,det_1607,
187,COM00060.00,Smelter,2014,Hot metal,,Crude steel,1000000,,,,,,,det_1674,
188,COM00060.00,Smelter,2015,Hot metal,,Crude steel,1200000,,,,,,,det_1673,
189,COM00060.00,Smelter,2016,Hot metal,,Crude steel,1300000,,,,,,,det_1672,
190,COM00060.00,Smelter,2017,Hot metal,,Crude steel,1100000,,,,,,,det_1671,
191,COM00060.00,Smelter,2018,Hot metal,,Crude steel,1100000,,,,,,,det_1670,
192,COM00060.00,Smelter,2019,Hot metal,,Crude steel,900000,,,,,,,det_1606,
193,COM00061.00,Smelter,2015,,,Crude steel,1500000,,,,,,,det_1673,
194,COM00061.00,Smelter,2016,,,Crude steel,1100000,,,,,,,det_1672,
195,COM00061.01,Smelter,2008,,,Crude steel,700000,,,,,,,det_1679,
196,COM00061.01,Smelter,2009,,,Crude steel,500000,,,,,,,det_1678,
197,COM00061.01,Smelter,2010,,,Crude steel,700000,,,,,,,det_1677,
198,COM00061.01,Smelter,2011,,,Crude steel,800000,,,,,,,det_1676,
199,COM00061.01,Smelter,2012,,,Crude steel,850000,,,,,,,det_1675,
200,COM00061.01,Smelter,2013,,,Crude steel,800000,,,,,,,det_1607,
201,COM00061.01,Smelter,2014,,,Crude steel,900000,,,,,,,det_1674,
202,COM00061.01,Smelter,2017,,,Crude steel,1000000,,,,,,,det_1671,
203,COM00061.01,Smelter,2018,,,Crude steel,1000000,,,,,,,det_1670,
204,COM00061.01,Smelter,2019,,,Crude steel,1000000,,,,,,,det_1606,
205,COM00061.03,Smelter,2009,,,Crude steel,600000,,,,,,,det_1678,
206,COM00061.03,Smelter,2010,,,Crude steel,700000,,,,,,,det_1677,
207,COM00061.03,Smelter,2011,,,Crude steel,600000,,,,,,,det_1676,
208,COM00061.03,Smelter,2012,,,Crude steel,600000,,,,,,,det_1675,
209,COM00061.03,Smelter,2013,,,Crude steel,500000,,,,,,,det_1607,
210,COM00061.03,Smelter,2014,,,Crude steel,600000,,,,,,,det_1674,
211,COM00062.00,Smelter,2008,,,Crude steel,900000,,,,,,,det_1679,
212,COM00062.00,Smelter,2009,,,Crude steel,800000,,,,,,,det_1678,
213,COM00062.00,Smelter,2010,,,Crude steel,1000000,,,,,,,det_1677,
214,COM00062.00,Smelter,2011,,,Crude steel,900000,,,,,,,det_1676,
215,COM00062.00,Smelter,2012,,,Crude steel,944000,,,,,,,det_1675,
216,COM00062.00,Smelter,2013,,,Crude steel,1000000,,,,,,,det_1607,
